2026-04-12 22:58:57,661 - INFO - Starting companies info quering
2026-04-12 22:58:57,662 - INFO - Loading input file: data/tickers.csv
2026-04-12 22:58:57,683 - INFO - Total rows in input CSV: 14824
2026-04-13 07:12:49,589 - ERROR - Unexpected error for ECAP: If using all scalar values, you must pass an index
2026-04-13 07:12:51,058 - ERROR - Unexpected error for ECHO: If using all scalar values, you must pass an index
2026-04-13 07:13:01,527 - ERROR - Unexpected error for EFIC: If using all scalar values, you must pass an index
2026-04-13 07:13:02,027 - ERROR - Unexpected error for EFIH: If using all scalar values, you must pass an index
2026-04-13 07:13:04,343 - ERROR - Unexpected error for EGAL: If using all scalar values, you must pass an index
2026-04-13 07:13:04,562 - ERROR - Unexpected error for EGBE: If using all scalar values, you must pass an index
2026-04-13 07:13:05,046 - ERROR - Unexpected error for EGCH: If using all scalar values, you must pass an index
2026-04-13 07:13:09,327 - ERROR - Unexpected error for EGTS: If using all scalar values, you must pass an index
2026-04-13 07:13:12,530 - ERROR - Unexpected error for EIN: If using all scalar values, you must pass an index
2026-04-13 07:13:13,343 - ERROR - Unexpected error for EKGYO.E: If using all scalar values, you must pass an index
2026-04-13 07:13:18,375 - ERROR - Unexpected error for ELEC: If using all scalar values, you must pass an index
2026-04-13 07:13:22,429 - ERROR - Unexpected error for ELKA: If using all scalar values, you must pass an index
2026-04-13 07:13:33,513 - ERROR - Unexpected error for EMFD: If using all scalar values, you must pass an index
2026-04-13 07:14:02,460 - ERROR - Unexpected error for EQD: If using all scalar values, you must pass an index
2026-04-13 07:14:17,030 - ERROR - Unexpected error for ESRS: If using all scalar values, you must pass an index
2026-04-13 07:14:21,549 - ERROR - Unexpected error for ETIVF: If using all scalar values, you must pass an index
2026-04-13 07:14:38,658 - ERROR - Unexpected error for EXENS: If using all scalar values, you must pass an index
2026-04-13 07:14:47,953 - ERROR - Unexpected error for F: If using all scalar values, you must pass an index
2026-04-13 07:14:53,032 - ERROR - Unexpected error for FALABEC1: If using all scalar values, you must pass an index
2026-04-13 07:15:02,042 - ERROR - Unexpected error for FCMB: If using all scalar values, you must pass an index
2026-04-13 07:15:24,036 - ERROR - Unexpected error for FIDELITYBK: If using all scalar values, you must pass an index
2026-04-13 07:15:34,264 - ERROR - Unexpected error for FLOURMILL: If using all scalar values, you must pass an index
2026-04-13 07:15:55,036 - ERROR - Unexpected error for FRAMERY: If using all scalar values, you must pass an index
2026-04-13 07:16:18,410 - ERROR - Unexpected error for G: If using all scalar values, you must pass an index
2026-04-13 07:16:25,695 - ERROR - Unexpected error for GBCO: If using all scalar values, you must pass an index
2026-04-13 07:16:34,264 - ERROR - Unexpected error for GDWA: If using all scalar values, you must pass an index
2026-04-13 07:16:34,771 - ERROR - Unexpected error for GDYN: If using all scalar values, you must pass an index
2026-04-13 07:16:37,133 - ERROR - Unexpected error for GEF: If using all scalar values, you must pass an index
2026-04-13 07:17:10,172 - ERROR - Unexpected error for GLXY: If using all scalar values, you must pass an index
2026-04-13 07:17:43,741 - ERROR - Unexpected error for GSAT: If using all scalar values, you must pass an index
2026-04-13 07:17:51,975 - ERROR - Unexpected error for GTS: If using all scalar values, you must pass an index
2026-04-13 07:17:53,475 - ERROR - Unexpected error for GUBRA: If using all scalar values, you must pass an index
2026-04-13 07:18:03,438 - ERROR - Unexpected error for H: If using all scalar values, you must pass an index
2026-04-13 07:18:05,235 - ERROR - Unexpected error for H24: If using all scalar values, you must pass an index
2026-04-13 07:18:10,264 - ERROR - Unexpected error for HALP: If using all scalar values, you must pass an index
2026-04-13 07:18:23,297 - ERROR - Unexpected error for HCW: If using all scalar values, you must pass an index
2026-04-13 07:18:24,137 - ERROR - Unexpected error for HDBK: If using all scalar values, you must pass an index
2026-04-13 07:18:29,623 - ERROR - Unexpected error for HELI: If using all scalar values, you must pass an index
2026-04-13 07:18:30,794 - ERROR - Unexpected error for HEMRAJ: If using all scalar values, you must pass an index
2026-04-13 07:18:49,858 - ERROR - API rate limit exceeded (429) - stopping
2026-04-13 07:18:49,858 - INFO - Scraping completed
2026-04-13 07:18:49,858 - INFO - Total processed: 14761
2026-04-13 07:18:49,858 - INFO - Skipped (already exist): 4933
2026-04-13 07:18:49,858 - INFO - Failed: 173, company names saved to data/failed_tickers.csv
2026-04-14 07:01:39,548 - INFO - Starting companies info quering
2026-04-14 07:01:39,563 - INFO - Loading input file: data/tickers.csv
2026-04-14 07:01:39,604 - INFO - Total rows in input CSV: 14824
2026-04-14 07:01:39,798 - INFO - Loaded existing data with 88773 records
2026-04-14 07:01:40,568 - ERROR - Unexpected error for 000623: If using all scalar values, you must pass an index
2026-04-14 07:01:40,894 - ERROR - Unexpected error for 000698: If using all scalar values, you must pass an index
2026-04-14 07:01:41,103 - ERROR - Unexpected error for 000707: If using all scalar values, you must pass an index
2026-04-14 07:01:41,514 - ERROR - Unexpected error for 000831: If using all scalar values, you must pass an index
2026-04-14 07:01:42,172 - ERROR - Unexpected error for 002019: If using all scalar values, you must pass an index
2026-04-14 07:01:42,420 - ERROR - Unexpected error for 002037: If using all scalar values, you must pass an index
2026-04-14 07:01:42,723 - ERROR - Unexpected error for 002082: If using all scalar values, you must pass an index
2026-04-14 07:01:43,279 - ERROR - Unexpected error for 002234: If using all scalar values, you must pass an index
2026-04-14 07:01:43,586 - ERROR - Unexpected error for 002258: If using all scalar values, you must pass an index
2026-04-14 07:01:43,988 - ERROR - Unexpected error for 002333: If using all scalar values, you must pass an index
2026-04-14 07:01:44,286 - ERROR - Unexpected error for 002369: If using all scalar values, you must pass an index
2026-04-14 07:01:44,603 - ERROR - Unexpected error for 002414: If using all scalar values, you must pass an index
2026-04-14 07:01:44,961 - ERROR - Unexpected error for 002457: If using all scalar values, you must pass an index
2026-04-14 07:01:45,514 - ERROR - Unexpected error for 002632: If using all scalar values, you must pass an index
2026-04-14 07:01:45,731 - ERROR - Unexpected error for 002644: If using all scalar values, you must pass an index
2026-04-14 07:01:46,181 - ERROR - Unexpected error for 002925: If using all scalar values, you must pass an index
2026-04-14 07:01:47,499 - ERROR - Unexpected error for 015860: If using all scalar values, you must pass an index
2026-04-14 07:01:48,337 - ERROR - Unexpected error for 0292: If using all scalar values, you must pass an index
2026-04-14 07:01:50,548 - ERROR - Unexpected error for 1: If using all scalar values, you must pass an index
2026-04-14 07:01:50,956 - ERROR - Unexpected error for 104200: If using all scalar values, you must pass an index
2026-04-14 07:01:54,863 - ERROR - Unexpected error for 2: If using all scalar values, you must pass an index
2026-04-14 07:01:55,518 - ERROR - Unexpected error for 2142: If using all scalar values, you must pass an index
2026-04-14 07:01:55,871 - ERROR - Unexpected error for 2180: If using all scalar values, you must pass an index
2026-04-14 07:01:56,079 - ERROR - Unexpected error for 2185: If using all scalar values, you must pass an index
2026-04-14 07:01:56,686 - ERROR - Unexpected error for 2310: If using all scalar values, you must pass an index
2026-04-14 07:01:57,936 - ERROR - Unexpected error for 2561: If using all scalar values, you must pass an index
2026-04-14 07:01:58,875 - ERROR - Unexpected error for 2788: If using all scalar values, you must pass an index
2026-04-14 07:01:59,685 - ERROR - Unexpected error for 3: If using all scalar values, you must pass an index
2026-04-14 07:02:00,195 - ERROR - Unexpected error for 300177: If using all scalar values, you must pass an index
2026-04-14 07:02:00,509 - ERROR - Unexpected error for 300278: If using all scalar values, you must pass an index
2026-04-14 07:02:00,893 - ERROR - Unexpected error for 300455: If using all scalar values, you must pass an index
2026-04-14 07:02:01,375 - ERROR - Unexpected error for 300979: If using all scalar values, you must pass an index
2026-04-14 07:02:03,140 - ERROR - Unexpected error for 353810: If using all scalar values, you must pass an index
